SHIELD_60X30MM_CUSTOM	1	"EK1"	shield_60x30mm_custom
FB_600R_0402	4	"FB1 FB2 FB3 FB4"	SM0402	445-2162-1-ND	Digi-Key	FERRITE CHIP BEAD, 600 OHM, SMD,	MMZ1005S601C	TDK Corporation	600 Ohm @ 100MHz, 0.3A
FIDUCIAL	4	"FD1 FD2 FD3 FD4"	
FR_220R_0402	4	"FR5 FR6 FR8 FR9"	R_SM0402	445-9329-1-ND	Digi-Key	FERRITE, CHIP, 220 OHM, 0402,	MPZ1005S221E	TDK Corporation	100MHz/220/0.9A
FR_600R_0805_2A	4	"FR2 FR3 FR4 FR7"	R_SM0805	Digi-Key	445-2206-1-ND	TDK Corporation	MPZ2012S601AT000	FERRITE, CHIP, BEAD, 600 OHM, SMD,	100MHz/600/2A
FR_220R_1206_4A	1	"FR10"	R_SM1206	587-3250-1-ND	Digi-Key	FERRITE BEAD 220 OHM 1206	FBMH3216HM221NT	Taiyo Yuden	100MHz/220/4A
RT9026GFP	1	"IC4"	10MSOP	Digi-Key	1028-1010-1-ND	Richtek USA Inc	RT9026GFP	IC DDR TERMINATION REG 10MSOP	RT9026GFP
CYUSB3013	1	"IC7"	121-TFBGA	Mouser	727-CYUSB3013-BZXC	Cypress Semiconductor	CYUSB3013-BZXC	USB Interface, IC EZUSB, SuperSpeedCtrl X16, 256KB,	CYUSB3013
EP4CE10F17C8N	1	"IC1"	256FBGA	Digi-Key	544-2830-ND	Altera	EP4CE10F17C8N	IC FPGA 179 I/O 256FBGA	EP4CE10F17C8N
FLASH_4MBIT_2X3MM_3.3V	2	"IC8 IC9"	8-USON	Digi-Key	1092-1064-ND	Macronix	MX25L4006EZUI-12G	IC FLASH 4MBIT 86MHZ 8USON	MX25L4006EZUI-12G
W9751G6KB-25	1	"IC3"	84WBGA	Digi-Key	W9751G6KB-25-ND	Winbond Electronics	W9751G6KB-25	IC, DDR2, SDRAM, 512M, 2.5NS, 84WBGA,	W9751G6KB-25
SP3010-04UTG	1	"IC6"	uDFN-10	Digi-Key	F3507TR-ND	Littelfuse Inc	SP3010-04UTG	TVS ARRAY, ESD, 4CH, .45PF, 8KV, UDFN,	SP3010-04UTG
100-PIN_CONN_HDR	1	"J7"	100-PIN_CONNECTOR	Digi-Key	H11614CT-ND	Hirose Electric Co Ltd	DF40C-100DP-0.4V(51)	CONN HDR 100POS 0.4MM SMD GOLD
PINHEADER2X20_SMD_FEMALE	1	"J2"	Pin Header 2 x 20 SMD	Digi-Key	S5690-ND	Sullins Connector Solutions	NPTC202KFMS-RC	CONN FEMALE 40POS DL .1" TIN SMD	Female Socket 2 x 20 SMD
PINHEADER2X7_SMD_1.27MM	1	"J3"	PinHeader2x7_SMD_1.27mm	Digi-Key	609-3730-ND	FCI	20021121-00014T4LF	CONN HEADER 14POS DL UNSHRD SMD	PinHeader2x7_SMD_1.27mm
JUMPER2_V	1	"J1"	PINHEADER_1x2_SMD	Digi-Key	952-1913-ND	Harwin Inc	M20-8770246	2POS SIL VERTICAL SMT HEADER	NOFIT
PINHEADER1X2_SMD_RIGHT	1	"J5"	PINHEADER_1x2_SMD_right	Digi-Key	S1113E-02-ND	Sullins Connector Solutions	GEC02SBSN-M89	CONN HEADER 2POS .100 RT/A SMD
USB3_A_SMD	1	"J4"	USB3_A_SMD	Farnell	2443106	GLOBAL CONNECTOR TECHNOLOGY	USB1065-30-A	Connector Plug USB TypeA 3.0, Superspeed+ 9 Position Surface Mount, Right Angle, Horizontal	USB3_A
2.2UH_XAL60XX_SERIES	1	"L4"	XAL60xx series	Coilcraft	XAL6030-222MEB	Coilcraft	XAL6030-222MEB	SMT power inductor 2.2 uH	2.2uH
22UH_0603	1	"L3"	SMD0603	Digi-Key	445-17069-1-ND	TDK Corporation	MLZ1608N220LT000	FIXED IND 22UH 300MA 1.65 OHM	22uH
22UH_XAL60XX_SERIES_NF	1	"L5"	XAL60xx series	Coilcraft	XAL6060-223MEB	Coilcraft	XAL6060-223MEB	SMT power inductor 22 uH	22uH NF	NOFIT
22UH_XAL60XX_SERIES	1	"L6"	XAL60xx series	Coilcraft	XAL6060-223MEB	Coilcraft	XAL6060-223MEB	SMT power inductor 22 uH	22uH
LED	1	"LD1"	LD0603	Farnell	1226372RL	OSRAM	LGQ971	OSRAM - LGQ971 - LED; SMD; GREEN;
LED_0603_YELLOW	6	"LD2 LD3 LD4 LD5 LD6 LD7"	LD_0603	DigiKey	160-1836-1-ND	Lite-On Inc	LTST-C194KSKT	LED, YELLOW, RECT, CLEAR, 0603,	Yellow
0R_0402	13	"R9 R21 R66 R115 R132 R147 R150 R153 R156 R157 R159 R161 R163"	R_SM0402	Digi-Key	311-0.0JRCT-ND	Yageo	RC0402JR-070RL	RES, 0.0 OHM,1/16W, JUMP, 0402 SMD,	0R
0R_0402_NF	5	"R20 R122 R148 R151 R154"	R_SM0402	Digi-Key	311-0.0JRCT-ND	Yageo	RC0402JR-070RL	RES, 0.0 OHM,1/16W, JUMP, 0402 SMD,	0R	NF	NOFIT
0R_0402	2	"R48 R51"	SM0402	Farnell	1469661	VISHAY DRALORIC	CRCW04020000Z0ED	R 0 Ohm 1% 63mW 0402	0R
0R_0805	2	"R13 R15"	SM0805	Digi-Key	P0.0ACT-ND	Panasonic Electronic Components	ERJ-6GEY0R00V	RES 0.0 OHM 1/8W JUMP 0805 SMD	0R
0R_0402	1	"R18"	SMD0402	Digi-Key	311-0.0JRCT-ND	Yageo	RC0402JR-070RL	RES, 0.0 OHM,1/16W, JUMP, 0402 SMD,	0R
56R_0201	41	"R72 R73 R74 R75 R76 R77 R78 R79 R80 R81 R82 R83 R84 R85 R86 R87 R88 R89 R90 R91 R92 R93 R94 R95 R96 R97 R98 R99 R100 R101 R102 R103 R104 R105 R106 R107 R108 R109 R110 R111 R112"	SMD0201	Digi-Key	1276-3594-1-ND	Samsung Electro-Mechanics America, Inc	RC0603F560CS	RES 56 OHM 1/20W 1% 0201	56R
200R/1%_0402	1	"R138"	R_SM0402	Digi-Key	311-200LRCT-ND	Yageo	RC0402FR-07200RL	RES, 200 OHM, 1/16W, 1%, 0402 SMD,	200R/1%
806R_0402	1	"R35"	R_SM0402	Digi-Key	P806DCCT-ND	Panasonic Electronic Components	ERA-2AEB8060X	RES, 806,OHM, 1/16W .1%, 0402 SMD,	806R
1K_0402	3	"R31 R71 R117"	R_SM0402	Digi-Key	RMCF0402FT1K00CT-ND	Stackpole Electronics Inc	RMCF0402FT1K00	RES, 1K OHM, 1/16W, 1%, 0402,	1K
1K_0402	7	"R8 R12 R50 R53 R135 R139 R142"	SMD0402	Digi-Key	RMCF0402FT1K00CT-ND	Stackpole Electronics Inc	RMCF0402FT1K00	RES 1K OHM 1/16W 1% 0402	1k
1K1_0402	1	"R65"	SMD0402	Digi-Key	P1.10KLCT-ND	Panasonic Electronic Components	ERJ-2RKF1101X	RES SMD 1.1K OHM 1% 1/10W 0402	1K1
1K2_0402	2	"R52 R116"	R_SM0402	Digi-Key	311-1.20KLRCT-ND	Yageo	RC0402FR-071K2L	RES SMD 1.2K OHM 1% 1/16W 0402	1k2
2K2_0402	5	"R3 R5 R6 R67 R134"	SMD0402	Digi-Key	311-2.20KLRCT-ND	Yageo	RC0402FR-072K2L	RES, 2.20K OHM, 1/16W, 1%, 0402, SMD,	2K2
4K7_0402	6	"R144 R145 R146 R158 R160 R162"	R_SM0402	DigiKey	311-4.7KJRCT-ND	Yageo	RC0402JR-074K7L	RES, 4.7K OHM, 1/16W, 5%, 0402, SMD,	4K7
5K49_0402	2	"R38 R70"	SMD0402	Digi-Key	311-5.49KLRCT-ND	Yageo	RC0402FR-075K49L	RES, 5.49K, OHM, 1/16W, 1%, 0402, SMD,	5K49
6.04K/1%_0402	1	"R136"	R_SM0402	Digi-Key	541-6.04KLCT-ND	Vishay Dale	CRCW04026K04FKED	RES, 6.04K OHM, 1/16W, 1%, 0402 SMD,	6.04K/1%
10K_0402	11	"R30 R32 R113 R114 R125 R127 R128 R130 R149 R152 R155"	R_SM0402	Digi-Key	311-10.0KLRCT-ND	Yageo	RC0402FR-0710KL	RES 10K OHM 1/16W 1% 0402 SMD	10K
10K_0402_NF	2	"R131 R137"	R_SM0402	Digi-Key	311-10.0KLRCT-ND	Yageo	RC0402FR-0710KL	RES, 10.0K OHM, 1/16W, 1%, 0402, SMD,	10K	NF	NOFIT
12K7_0402	1	"R34"	SMD0402	Digi-Key	RHM12.7KCDCT-ND	Rohm Semiconductor	MCR01MRTF1272	RES SMD 12.7K OHM 1% 1/16W 0402	12K7
15K8_0402	2	"R36 R68"	SMD0402	Digi-Key	541-15.8KLCT-ND	Vishay Dale	CRCW040215K8FKED	RES, 15.8K OHM, 1/16W, 1%, 0402, SMD,	15K8
28K_0402	2	"R37 R69"	SMD0402	Digi-Key	311-28.0KLRCT-ND	Yageo	RC0402FR-0728KL	RES, 28.0K, OHM, 1/16W, 1%, 0402, SMD,	28K
100K_0402	3	"R2 R141 R143"	R_SM0402	Digi-Key	311-100KJRCT-ND	Yageo	RC0402JR-07100KL	RES, 100K OHM, 1/16W, 5%, 0402, SMD,	100K
